"type","subtype","size","region","massCO2PerMassDistance","massCH4PerMassDistance","massN2OPerMassDistance","units","source"
"light goods vehicle","petrol","less than 1.305 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","1.305 to 1.74 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","1.305 to 1.74 tonnes","uk",1.19810202827970,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","1.305 to 1.74 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","1.74 to 3.5 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","1.74 to 3.5 tonnes","uk",0.72415595397037,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","1.74 to 3.5 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","less than 1.305 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","less than 1.305 tonnes","uk",1.38627291727930,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","less than 1.305 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1.305 to 1.74 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1.305 to 1.74 tonnes","uk",1.27581141154866,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1.305 to 1.74 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1.74 to 3.5 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1.74 to 3.5 tonnes","uk",0.76206175186650,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1.74 to 3.5 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
