"productType","brand","modelName","modelNumber","category","energyPerTime","units","source"
"Notebook/Tablet","Samsung","NP-Q310H","NP-Q310H","B",39.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Compaq 6531s Notebook PC ENERGY STAR","6531s","B",40,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Compaq 6830s Notebook PC ENERGY STAR","6830s","B",40,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Compaq 6730s Notebook PC ENERGY STAR","6730s","A",35.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Compaq 6730s Notebook PC ENERGY STAR","6730s","B",40,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Sony","VGN-BZ561","VGN-BZ561","A",28,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","HP EliteBook 2530p Notebook PC","2530p","A",32.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Compaq 6530s Notebook PC ENERGY STAR PC","6530s","A",35.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Compaq 6530b Notebook PC ENERGY STAR","6530b","A",35.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Compaq 6730b Notebook PC ENERGY STAR PC","6730b","A",35.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200s",2046,"A",33.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200s",2047,"A",33.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200s",7462,"A",33.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200s",7465,"A",33.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200s",7466,"A",33.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200s",7469,"A",33.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200s",7470,"A",33.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","HP EliteBook 8530w Mobile Workstation","8530w","B",48.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200 Tablet",2263,"A",31.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200 Tablet",2266,"A",31.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200 Tablet",4184,"A",31.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200 Tablet",7448,"A",31.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200 Tablet",7449,"A",31.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200 Tablet",7450,"A",31.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200 Tablet",7453,"A",31.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-X360","NP-X360","A",36.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-X460","NP-X460","B",48.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LIFEBOOK E8420","LIFEBOOK E8420","B",44.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","EliteBook 8730w Mobile Workstation","8730w","B",48.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Elitebook 8530p Notebook PC ENERGY STAR","8530p","B",48.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","Gordon","LifeBook S6520, S6420","A",38.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","540 Notebook PC ENERGY STAR",540,"A",35.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","550 Notebook PC ENERGY STAR",550,"A",35.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Sony","VGN-SR290","VGN-SR290","B",40.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Sony","VGN-SR290C","VGN-SR290C","B",40.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook ","P1630","A",25.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","T2020","A",35.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LIFEBOOK T5010","LIFEBOOK T5010","A",39.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","General Dynamics Itronix","GD6000","GD6000","A",35.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Compaq","Presario CQ60 series notebook PC (Intel)","CQ60-400 to CQ60-499","A",30.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Compaq","Presario CQ60 series notebook PC (Intel)","CQ60-400 to CQ60-499","B",29.1,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","STYLISTIC ST6012","STYLISTIC ST6012","A",27.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-F8E series","CF-F8E series","A",32.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-T8E series","CF-T8E series","A",32.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-W8E series","CF-W8E series","A",30.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-H1A/B/C series","CF-H1A/B/C series","A",29.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv4 series notebook PC (Intel)","dv4t","A",36.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv4 series notebook PC (Intel)","dv4t","B",41.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LIFEBOOK S6520","LIFEBOOK S6520","A",36.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LIFEBOOK S6420","LIFEBOOK S6420","A",36.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","AJ2","MD73 series","A",30.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","AJ2","MD73 series","B",44,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","AJ2","MC78 series","A",30.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","AJ2","MC78 series","B",44,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo IdeaPad Y550","4186XXXX","A",34.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo IdeaPad Y550","4186XXXX","B",34.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-19 K/L/M/N series","CF-19 K/L/M/N series","A",35,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ASUS","N81V","N81V","B",40.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ASUS","X86V","X86V","B",40.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ASUS","PRO87V","PRO87V","B",40.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Compaq","Presario CQ70 series notebook PC","CQ70-400aa to CQ70-499zz, except with Celeron processor","A",30.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Compaq","Presario CQ70 series notebook PC","CQ70-400aa to CQ70-499zz, except with Celeron processor","B",34,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Dell","Latitude XT2","PP12S","A",36.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-30K/L/M/N/P/Q series","CF-30K/L/M/N/P/Q series","A",39.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo Ideapad Y650","4185-XXXX","A",31.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo Ideapad Y650","4185-XXXX","B",43.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-NC20","NP-NC20","A",27.1,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo Ideapad Y650","20016-XXXX","A",31.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo Ideapad Y650","20016-XXXX","B",43.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo IdeaPad Y550","20017XXXX","A",34.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","Lenovo IdeaPad Y550","20017XXXX","B",34.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Dell","Inspiron",1210,"A",17.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Mini 2140 Notebook PC ENERGY STAR",2140,"A",35.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ITAUTEC","Infoway Note","N8635","B",55.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LIFEBOOK A1120","LIFEBOOK A1120","A",31.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Pavilion dv7 series notebook PC (Intel)","dv7t","B",59.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Gateway","LG1","NO20 series","A",33.9,"kWh/year","www.energystar.gov"
