homeDwellingType,homeNoOfBedrooms,homeFuel,homeAge,type,kgCO2PerYear,units,source,default
detached house,3,gas,1930-1995,warm air,6183,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,1930-1995,back boiler,6658,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,1930-1995,boiler (condensing),4918,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,pre 1930,boiler (old-12-15yrs old),9250,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,pre 1930,boiler (average-5-10yrs old),7708,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,pre 1930,boiler (new-less than 5 yrs old),7115,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,pre 1930,room heaters,10252,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,pre 1930,warm air,7928,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,pre 1930,back boiler,8538,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,pre 1930,boiler (condensing),6307,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,post 1995,boiler (old-12-15yrs old),4676,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,post 1995,boiler (average-5-10yrs old),3897,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,post 1995,boiler (new-less than 5 yrs old),3597,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,post 1995,room heaters,5520,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,post 1995,warm air,4008,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,post 1995,back boiler,4316,kgco2/year,defra/bre/dgen 2007,
detached house,3,gas,post 1995,boiler (condensing),3188,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,1930-1995,boiler (old-12-15yrs old),9563,kgco2/year,defra/bre/dgen 2007,
detached house,4,oil,1930-1995,boiler (average-5-10yrs old),7770,kgco2/year,defra/bre/dgen 2007,
