"region","poultrySubtype","managementType","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"asia","ducks","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","hens older than 1 year","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","hens older than 1 year","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","hens older than 1 year","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","hens older than 1 year","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","hens older than 1 year","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"middle east","hens older than 1 year","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","hens older than 1 year","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","hens older than 1 year","anaerobic lagoon",0.96,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"asia","other chickens","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"africa","other chickens","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"eastern europe","other chickens","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"latin america","other chickens","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"north america","other chickens","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"western europe","other chickens","anaerobic lagoon",0.83,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
"oceania","other chickens","anaerobic lagoon",0.82,0.000,0.400,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/4_Volume4/V4_10_Ch10_Livestock.pdf"
