"reference","title","author","year","publisher","isbn","units","source"
155,"Life cycle assessment of a wind farm and related externalities","L Schleisner",2000,"Renewable energy 20, 2000, 279-288",,,"http://people.bath.ac.uk/cj219/"
156,"Life cycle assessment of aluminium: inventory data for the primary aluminium industry - Year 2005 update","International Aluminium Institute",2007,"International Aluminium Institute",,,"http://people.bath.ac.uk/cj219/"
157,"Life Cycle Assessment of Copper Products","Ladji Tikana, Henrike Sievers, and Anton Klassert",2005,"Deutsches Kupferinstitut – Life Cycle Centre",,,"http://people.bath.ac.uk/cj219/"
158,"Life Cycle Assessment of Flooring Materials: Case Study","A. Jonsson, A-M, Tillman, T.Svensson",1995,"Building and Environment (Journal) Vol 32, No.3, pg 245-255, 1997, Pergamon, Elsevier.",,,"http://people.bath.ac.uk/cj219/"
159,"Life Cycle Assessment of Nickel Products","Ecobalance for Nickel Industry LCA Group",2000,"Ecobalance for Nickel Industry LCA Group",,,"http://people.bath.ac.uk/cj219/"
160,"Life Cycle Assessment of Particleboards and Fibreboards","A. Frühwald, J. Hasch",1999,"http://www.oekobilanzen-holz.de/",,,"http://people.bath.ac.uk/cj219/"
161,"Life Cycle Assessment of Plasterboard","WRAP",2008,"Waste Resources Action Programme (WRAP)",,,"http://people.bath.ac.uk/cj219/"
162,"Life Cycle Assessment of polyvinyl Chloride and Alternatives: Summary Report for Consultation","DEFRA",2001,"DEFRA, Web address: http:www.defra.gov.uk/environment/consult/PVC/index2.htm",,,"http://people.bath.ac.uk/cj219/"
163,"Life Cycle Assessment of PVC and of Principle Competing Materials","Martin Baitz, Johannes Kreissig and Eloise Byrne",2004,"European Commission",,,"http://people.bath.ac.uk/cj219/"
164,"Life Cycle Assessment of Road Construction","Ulla-Maija Mroueh, Paula Eskola, Jutta Laine-Ylijoki, Kari Wellman et al",2000,"FINNRA - Finnish National Road Administration",,,"http://people.bath.ac.uk/cj219/"
165,"Life Cycle Assessment of Wood Floor Coverings","Barbara Nebel, Bernhard Zimmer and Gerd Wegener",2006,"International Journal of LCA 11 (3), 2006, Pg 172-182",,,"http://people.bath.ac.uk/cj219/"
166,"Life Cycle Assessments of Natural Fibre Insulation Materials","Richard J Murphy and Andrew Norton",2008,"Imperial College London",,,"http://people.bath.ac.uk/cj219/"
167,"Life cycle CO2 emissions of a photovoltaic/wind/diesel generating system","Y Kemmoku, K Ishikawa, S Nakagawa, T Kawamoto & T Sakakibara",2002,"Electrical engineering in Japan, Vol 138, No. 2, 2002",,,"http://people.bath.ac.uk/cj219/"
168,"Life Cycle CO2 Emissions of a Photovoltaic/Wind/Diesel Generating System","Yoshishige Kemmoku, Keiko Ishikawa, Shigeyasu Nakagawa, teru Kawamoto",2002,"Electrical Engineering in Japan, Vol 1, No 2, 2002",,,"http://people.bath.ac.uk/cj219/"
169,"Life cycle energy and environmental performance of a new university building modelling challenges and design implications","Chris Scheuer, Gregory A. Keoleian, Peter Reppe",2003,"Energy and buildings 35, pg 1049-1064",,,"http://people.bath.ac.uk/cj219/"
170,"Life Cycle Environmental Assessment of Paint Processes","Stella Papasavva, Sheila Kia, Joseph Claya, and Raymond Gunther",2002,"Journal of Coatings Technology, Vol. 74, No. 925, February 2002",,,"http://people.bath.ac.uk/cj219/"
171,"life Cycle Impact Assessment of Printing Paper using Non-Wood Pulp and De-inked Pulp","Katsuhito Nakazawa, Toru Katsura, Keiichi Katayama, Itaru Yasui",2004,"6th International Conference on EcoBalance, Tsukuba, Japan, 25-27 Oct. 2004.",,,"http://people.bath.ac.uk/cj219/"
172,"Life Cycle Inventory for kraft sack paper","Pär Weström & Cathrine Löfgre",2005,"CEPI Eurokraft / Eurosac",,,"http://people.bath.ac.uk/cj219/"
173,"Life Cycle inventory of Five Products Produced from Polylactide (PLA) and Petroleum Based Resins - Summary Report","Franklin Associates for Athena Institute",2006,"Athena Institute International",,,"http://people.bath.ac.uk/cj219/"
174,"Life Cycle inventory of Five Products Produced from Polylactide (PLA) and Petroleum Based Resins - Technical Report","Franklin Associates for Athena Institute",2006,"Athena Institute International",,,"http://people.bath.ac.uk/cj219/"
175,"Life Cycle Inventory of Medium Density Fibreboard","Beatriz Rivela, M Teresa Moreira and Gumersindo Feijoo",2007,"Int J LCA 12 (3) 143 – 150 (2007)",,,"http://people.bath.ac.uk/cj219/"
176,"Life Cycle Inventory of Particleboard: A Case Study in the Wood Sector","Beatriz Rivela, Almudena Hospido, M Teresa Moreira and Gumersindo Feijoo",2006,"International Journal of LCA 11 (2), Pg 106-113",,,"http://people.bath.ac.uk/cj219/"
177,"Life Cycle Inventory of Portland Cement Concrete","Medgar L. Marceau, Michael A. Nisbet, and Martha G. VanGeem",2007,"Portland Cement Association (US), illinois.",,,"http://people.bath.ac.uk/cj219/"
178,"Life Cycle Inventory of Slag Cement Concrete","Jan R Prusinski, Medgar L Marceau and Martha G VanGeem",2003,"Presented at 8th CANMET/ACI international conference in Fly Ash, Silica Fume and Natural Pozzilans in Concrete",,,"http://people.bath.ac.uk/cj219/"
179,"Life cycle inventory of the worldwide aluminium industry with regard to energy consumption and emissions of greenhouse gases, paper 1 - automotive","International primary aluminium institute",2000,"International primary aluminium institute",,,"http://people.bath.ac.uk/cj219/"
180,"Life cycle of window materials - A comparative assessment","M. Asif, A. Davidson & T. Muneer",2002,"School of Engineering, Napier University, Edinburgh",,,"http://people.bath.ac.uk/cj219/"
181,"Life Cyle Assessment Data Copper Sheet","European Copper Institute",2005,"European Copper Institute",,,"http://people.bath.ac.uk/cj219/"
182,"Life Cyle Assessment Data Copper Tube","European Copper Institute",2005,"European Copper Institute",,,"http://people.bath.ac.uk/cj219/"
183,"Life Cyle Assessment Data Copper Wire","European Copper Institute",2005,"European Copper Institute",,,"http://people.bath.ac.uk/cj219/"
184,"Lifecycle assessment of paint, Summary of IVL Report B 1338-A","SVEFF (The Swedish Paint & Printing Ink Makers Association)",1999,"SVEFF (The Swedish Paint & Printing Ink Makers Association)",,,"http://people.bath.ac.uk/cj219/"
185,"Lightweight high-performance concrete masonry-block mix design","Babrak Amiri, Gary L Krause and Maher K Tadros",1994,"ACI Materials Journal, September-October 1994",,,"http://people.bath.ac.uk/cj219/"
186,"Lime – A Sustainable “Green” Building Product","Wayne Kenefick  and Mike Tate",2005,"International Building Lime Symposium 2005, Orlando, Florida, March 9 -11, 2005",,,"http://people.bath.ac.uk/cj219/"
187,"Lime Activity CO2 Emissions Factors","EULA - European Lime Association",2003,"EULA - European Lime Association",,,"http://people.bath.ac.uk/cj219/"
188,"Limestone Quarrying and Processing: A Life-Cycle Inventory","University of Tennessee",2008,"University of Tennessee",,,"http://people.bath.ac.uk/cj219/"
189,"LISA LCA software case study, Nurses Faculty - University of Australia","LISA Software",2000,"LISA Software, University of Newcastle, Australia",,,"http://people.bath.ac.uk/cj219/"
190,"Livscykelanalys av färg (Life cycle assessment of Paint)","Ulrik Axelsson, Anna Jarnhammar, Karl-Olof Widell, Per Jernberg, Gilbert Jansson, Mats Zackrisson, Olof Holmer.",1999,"Institutet för Vatten- och Luftvårdsforskning (IVL) report B 1338-A",,,"http://people.bath.ac.uk/cj219/"
191,"Loose-laid carpet tiles (PA6) - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2009,"Declaration number: EPD-GUT-2009111-E",,,"http://people.bath.ac.uk/cj219/"
192,"Loose-laid carpet tiles (PA6.6) - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2009,"Declaration number: EPD-GUT-2009411-E",,,"http://people.bath.ac.uk/cj219/"
193,"Low Density polyethylene film LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
194,"Low Density polyethylene film LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
195,"Low Density polyethylene LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
196,"Low Density polyethylene LCI Data Summary in Excel format","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
197,"Materials, Operational Energy inputs and Net Energy Ratio for Photobiological Hydrogen Production","Greg Burgess, Javier Fernandez-Velasco",2006,"International Journal of Hydrogen Energy, Article in Press, doi:10.1016/j.ijhydene.2006.10.055",,,"http://people.bath.ac.uk/cj219/"
198,"Mechanical Properties of Concrete with Recycled Coarse Aggregate","Khaldoun Rahal",2007,"Building and Environment 42, 2007, Pg 407-415",,,"http://people.bath.ac.uk/cj219/"
199,"Metal Resources and Energy","P F Chapman, F Roberts",1983,"Butterworth & Co Ltd","408108010",,"http://people.bath.ac.uk/cj219/"
200,"New Gross Energy Requirement Figures for Material Production","E Worrell, R J J van Heijningen et al",1993,"Energy Vol 19. No.6 pg 627-640, Pergamon, Elsevier Science Ltd.",,,"http://people.bath.ac.uk/cj219/"
201,"New Zealand Building Materials Embodied Energy Coefficients Database: Volume II - Coefficients","Andrew Alcorn, Peter Wood",1998,"Centre for Building Performance Research, Victoria University of Wellington",,,"http://people.bath.ac.uk/cj219/"
202,"New Zealand Embodied Energy Coefficients","George Baird, Andrew Alcorn, Phil Haslam",1997,"Centre for Building Performance Research, Victoria University of Wellington",,,"http://people.bath.ac.uk/cj219/"
203,"Nylon 66 LCI Data Summary in Excel format, APME","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
204,"Nylon 66 LCI Data Summary, APME","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
205,"Planning for sustainable development and construction","Somerset Trust for Sustainable Development",2000,"Somerset Trust for Sustainable development, Town Hall, Langport, Somerset, TA10 9GR",,,"http://people.bath.ac.uk/cj219/"
206,"Polyamide 6 (Nylon 6) LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
207,"Polyamide 6 (Nylon 6) LCI Data Summary in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
208,"Polyamide 66 (Nylon 66) LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
209,"Polyamide 66 (Nylon 66) LCI Data Summary in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
210,"Polycarbonate LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
211,"Polycarbonate LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
212,"Polyolefin's","I Boustead",2003,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
213,"Polypropylene  injection moulding LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
214,"Polypropylene injection moulding LCI Data Summary in Excel format","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
215,"Polypropylene LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
216,"Polypropylene LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
217,"Polypropylene orientated film LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
218,"Polypropylene orientated film LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
219,"Polystyrene (Expandable)(EPS) LCI Data Summary","I Boustead",2006,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
220,"Polystyrene (Expandable)(EPS) LCI Data Summary in Excel format","I Boustead",2006,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
221,"Polystyrene (General Purpose)(GPPS) LCI Data Summary","I Boustead",2006,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
222,"Polystyrene (General Purpose)(GPPS) LCI Data Summary in Excel format","I Boustead",2006,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
223,"Polystyrene (High Impact) LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
224,"Polystyrene (High Impact) LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
225,"Polyurethane Flexible foam LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
226,"Polyurethane Flexible foam LCI Data Summary in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
227,"Polyurethane Rigid foam LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
228,"Polyurethane Rigid foam LCI Data Summary in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
229,"Product Comparisons Method","G D Salomonsson & M D Ambrose",1996,"CSIRO Building, Construction and Engineering, Melbourne, Australia as appearing in Embodied Energy conference at Deakin Universiity 1996",,,"http://people.bath.ac.uk/cj219/"
230,"PVC (emulsion polymerised) LCI Data Summary","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
231,"PVC (emulsion polymerised) LCI Data Summary in Excel","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
232,"PVC Calendered Sheet LCI Summary Data","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
233,"PVC Calendered Sheet LCI Summary Data in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
234,"PVC Injection Moulding LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
235,"PVC Injection Moulding LCI Data Summary in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
236,"PVC pipe LCI data summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
237,"PVC pipe LCI data summary in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
238,"PVC Unplasticised Film (UPVC Film) LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
239,"PVC Unplasticised Film (UPVC Film) LCI Data Summary in Excel","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
240,"Quality based energy contents and carbon coefficients for building materials: A System approach","W P S Dias & S P Pooliyadda",2004,"Energy 29, 2004, 561-580",,,"http://people.bath.ac.uk/cj219/"
241,"Quantitative assessment of embodied environmental profile of building materials","Gong, Zhiqi & Zhang, Zhihui",2004,"Journal of Tsinghua university, Vol. 44, No.9",,,"http://people.bath.ac.uk/cj219/"
242,"Quantities for ordering building materials","Cement and concrete institute",2006,"Cement and Concrete Institute",,,"http://people.bath.ac.uk/cj219/"
243,"Quantity based Energy Contents and Carbon Coefficients for Building Materials: A Systems Approach","W P S Dias & S P Pooliyadda",2001,"Energy 29, 2004, pg 561-580",,,"http://people.bath.ac.uk/cj219/"
244,"Quarry Products Association - Sustainable Development Report 2008","Quarry Products Association",2008,"Quarry Products Association -",,,"http://people.bath.ac.uk/cj219/"
245,"Reducing the Carbon Footprint of Masonry Mortar","Paul Livesey",2007,"The Journal of the Building Limes Forum, Volume 14, 2007",,,"http://people.bath.ac.uk/cj219/"
246,"Reference Document on Best Available Techniques in the Cement and Lime Manufacturing Industries","Integrated Pollution Prevention and Control, European Commission",2007,"Integrated Pollution Prevention and Control, European Commission",,,"http://people.bath.ac.uk/cj219/"
247,"Reference Document on Reference Document on the Best Available Techniques in the Ceramic Manufacturing Industry","European Comission",2007,"European Comission",,,"http://people.bath.ac.uk/cj219/"
248,"Report for Life Cycle Assessment for Paper and Packaging Waste Management Scenarios in New South Wales","Tim Grant, Karli L. James, Sven Lundie, Kees Sonneveld and Paul Beavis",2001,"Joint collaboration of Australian Universities, Centre for Design at RMIT University, Victoria University, University of New South Wales",,,"http://people.bath.ac.uk/cj219/"
249,"Research on lifecycle fixed resources and exhausted carbon dioxide by buildings in Japan","Noboru Urushizaki, Takeo Kamioka, Chiaki Kaneko & Satoru Sugiyama",1994,"Proceedings of the CIB conference on buildings and the environment.",,,"http://people.bath.ac.uk/cj219/"
250,"RheinzinK, Titanium Zinc - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2005,"Declaration number: AUB-RHE-11105-E",,,"http://people.bath.ac.uk/cj219/"
251,"Rockwool environmental report: The wind of change","Rockwool limited",1997,"Rockwool Limited",,,"http://people.bath.ac.uk/cj219/"
252,"RT Environmental declaration Cold rolled steel sheet and coils","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
253,"RT Environmental declaration Colour coated steel sheets and coils","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
254,"RT Environmental declaration Metal coated steel sheet and coils","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
255,"RT Environmental declaration Ruukki’s structural hollow sections, steel pipe piles and steel sections","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
256,"RT Environmental Declaration: External wall element system (Nordicon)","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
257,"RT Environmental Declaration: Light-weight Sandwich Element System (Panel 3Lock)","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
258,"RT Environmental Declaration: Rautaruukki Oyj, Hot-rolled frames and bridge structures","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
259,"RT Environmental Declaration: Rautaruukki Oyj, Roofing sheets and façade claddings (paint coated)","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
260,"RT Environmental Declaration: Rautaruukki Oyj, Roofing sheets, façade claddings, purlins, framings and composite frame systems (hot-dip galvanized)","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
261,"RT-Environmental declaration Hot rolled steel plates, sheet and coils","Rautaruukki Oyj; www.ruukki.com",2007,"Rautaruukki Oyj; www.ruukki.com",,,"http://people.bath.ac.uk/cj219/"
262,"Sandstone Quarrying and Processing: A Life-Cycle Inventory","University of Tennessee",2008,"University of Tennessee",,,"http://people.bath.ac.uk/cj219/"
263,"Sikament 160 Technical data Sheet","Sika Limited",2005,"Sika Limited",,,"http://people.bath.ac.uk/cj219/"
264,"Sikkens Cetol BL 21 cradle to gate data","Imperial College Life Cycle Assessment Group",2003,"Akzo Nobel Specialist Coatings",,,"http://people.bath.ac.uk/cj219/"
265,"Sikkens Cetol BL 31 cradle to gate data","Imperial College Life Cycle Assessment Group",2003,"Akzo Nobel Specialist Coatings",,,"http://people.bath.ac.uk/cj219/"
266,"Sikkens Cetol BL opaque cradle to gate data","Imperial College Life Cycle Assessment Group",2003,"Akzo Nobel Specialist Coatings",,,"http://people.bath.ac.uk/cj219/"
267,"Sikkens Cetol BL Primer cradle to gate data","Imperial College Life Cycle Assessment Group",2003,"Akzo Nobel Specialist Coatings",,,"http://people.bath.ac.uk/cj219/"
268,"Sikkens Cetol WF 955 cradle to gate date","Imperial College Life Cycle Assessment Group",2003,"Akzo Nobel Specialist Coatings",,,"http://people.bath.ac.uk/cj219/"
269,"Sikkens Cetol WP 560 cradle to gate data","Imperial College Life Cycle Assessment Group",2003,"Akzo Nobel Specialist Coatings",,,"http://people.bath.ac.uk/cj219/"
270,"Sikkens Rubbol WF 380 cradle to gate data","Imperial College Life Cycle Assessment Group",2003,"Akzo Nobel Specialist Coatings",,,"http://people.bath.ac.uk/cj219/"
271,"Solarwall, Colorcoat assessed cladding system - Environmental Product Declaration","Corus",2002,"CA Building Products",,,"http://people.bath.ac.uk/cj219/"
272,"Suspension polymerised PVC LCI Data Summary","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
273,"Suspension polymerised PVC LCI Data Summary in Excel","I Boustead",1999,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
274,"Sustainability analysis of window frames","M Asif, T Muneer & J Kubie",2005,"Napier university",,,"http://people.bath.ac.uk/cj219/"
275,"Sustainable homes: Embodied energy in residential property development, A guide for registered social landlords.","Sustainable homes",1999,"Sustainable homes, http://www.sustainablehomes.co.uk",,,"http://people.bath.ac.uk/cj219/"
276,"Tecu, Copper Strips and Copper Alloys - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2007,"Declaration number: AUB-KME-30807-E",,,"http://people.bath.ac.uk/cj219/"
277,"Textile floor covering (PA 6) - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2009,"Declaration number: EPD-GUT-2009211-E",,,"http://people.bath.ac.uk/cj219/"
278,"Textile floor covering (PA 6), backing of textile fabrics - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2009,"Declaration number: EPD-GUT-2009511-E",,,"http://people.bath.ac.uk/cj219/"
279,"Textile floor covering (PA 6.6) - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2009,"Declaration number: EPD-GUT-2009311-E",,,"http://people.bath.ac.uk/cj219/"
280,"Textile mass balances and product life cycles; Ref S5471","British Textile Technology Group",1999,"British Textile Technology Group",,,"http://people.bath.ac.uk/cj219/"
281,"The Energy Embodied in Building Materials - updated New Zealand coefficients and their significance","George Baird, Andrew Alcorn, Phil Haslam",1997,"Centre for Building Performance Research, Victoria University of Wellington",,,"http://people.bath.ac.uk/cj219/"
282,"The environmental impacts of the production of hemp and flax textile yarn","Hayo M.G. van der Werf, Lea Turunen",2008,"industrial crops and products 2 7 ( 2 0 0 8 ) 1–10",,,"http://people.bath.ac.uk/cj219/"
283,"The European Steel Industry and Climate Change","EUROFER, European Confederation of Iron and Steel Industries",2000,"EUROFER, European Confederation of Iron and Steel Industries",,,"http://people.bath.ac.uk/cj219/"
284,"The Finnish metals industry and the environment","Jyri Seppala, Sirkka Koskela, Matti Melanen, Matti Palperi",2002,"Resources conservation and recycling (Journal), Elsevier",,,"http://people.bath.ac.uk/cj219/"
285,"The Future of the European Aluminium Industry: A MARKAL Energy and Material Flow Analysis","D J Gielen",1998,"ECN-Policy Studies",,,"http://people.bath.ac.uk/cj219/"
286,"The Life Cycle of copper, its co-products and by-products","Robert U Ayres, Leslie W Ayres and ingrid Rade",2002,"International institute for Environment and Development",,,"http://people.bath.ac.uk/cj219/"
287,"The Lifecycle assessment of Italian clay brick products","Mariachiara Torricelli",2005,"Unknown",,,"http://people.bath.ac.uk/cj219/"
288,"The measure of our sustainability, Report of the world steel industry 2004","International Iron and Steel Institute",2003,"IISI, International Iron and Steel Institute",,,"http://people.bath.ac.uk/cj219/"
289,"Thermoformed, Expanded Polystyrene  LCI Data Summary","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
290,"Thermoformed, Expanded Polystyrene  LCI Data Summary in Excel format","I Boustead",2005,"APME, Association of Plastics Manufacturers in Europe",,,"http://people.bath.ac.uk/cj219/"
291,"Timber as a building material - An environmental comparison against synthetic building materials","Phil Townsend and Chris Wagner",2002,"National Association of Forest Industries Ltd",,,"http://people.bath.ac.uk/cj219/"
292,"Tonality, ceramic cladding elements - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2009,"Declaration number: EPD-CRE-2009111-E",,,"http://people.bath.ac.uk/cj219/"
293,"Towards the holistic assessment of building performance based on an integrated systems approach","Stephane Citherlet",2001,"Swiss federal institute of technology",,,"http://people.bath.ac.uk/cj219/"
294,"Uncoated wood-free fine paper - Environmental Product Declaration","Asia Pacific Resources International Holdings Ltd.",2008,,,,"http://people.bath.ac.uk/cj219/"
295,"What LCA can tell us about the cement industry","Steven B. Young, Shannon Turnbul & Andrea Russell",2002,"Five winds international; World business council for sustainable development",,,"http://people.bath.ac.uk/cj219/"
296,"Window and advanced glazing systems life cycle assessment","Stephane Citerlet, Francesca Di Gulielmo & Jean-Bernard Gay",2000,"Energy & Buildings 32 pg 225-234",,,"http://people.bath.ac.uk/cj219/"
297,"Wood based building materials and atmospheric carbon emissions","Andrew H. Buchanan & S. Bry Levine",1999,"Environmental Science & Policy 2 (1999) 427±437",,,"http://people.bath.ac.uk/cj219/"
298,"World steel life cycle inventory - IISI methodology report","IISI - International Iron & Steel Institute",2000,"IISI - International Iron & Steel Institute",,,"http://people.bath.ac.uk/cj219/"
299,"Ytong, Autoclaved Aerated Concrete (AAC) - Environmental Product Declaration","Institut Bauen und Umwelt -German Institute of Construction and Environment",2005,"Declaration number: AUB-XEL-11005-E",,,"http://people.bath.ac.uk/cj219/"
300,"Cradle-to-Gate Carbon Footprint Analysis for Concrete Pipeline, Manhole Ring and Cover Slab","Concrete Pipeline Systems Association",2010,"Concrete Pipeline Systems Association",,,"http://people.bath.ac.uk/cj219/"
