state,type,fuel,numberOfBedrooms,kWhPerYearSpace,kWhPerYearWater,kWhPerYearAirCon,units,source
new york state,detached,natural gas,2,26838,6764,1248,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,natural gas,3,33085,7171.5,1248,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,natural gas,4 or more,39332,7579,1248,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,fuel oil,2,18919,10083,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,fuel oil,3,25345,9557,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,fuel oil,4 or more,26969,11697,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,attached,natural gas,2,17089,4853,828,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,attached,natural gas,3,21828,6251,828,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,attached,natural gas,4 or more,29260,9164,828,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,natural gas,0 or 1,5534,2663,495,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,natural gas,2,12591,4467,574,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,natural gas,3,22045,5707,941,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,fuel oil,0 or 1,6417,4299,455,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,fuel oil,2,10204,5340,582,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,fuel oil,3,13910,10365,582,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,electricity,0 or 1,2123,867,188,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,electricity,2,5010,1830,683,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,0 or 1,5800,4188,277,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,2,7929,5624,788,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,3,8913,5928,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,4 or more,10680,6274,1838,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,electricity,2,2361,1897,950,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,electricity,3,2361,2735,1734,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,electricity,4 or more,2534,2735,2233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,attached,natural gas,2,5606,4552,801,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,attached,natural gas,3,6210,5934,1590,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,attached,natural gas,4 or more,10088,6869,1724,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,natural gas,0 or 1,2594,2647,500,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,natural gas,2,4413,3904,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,natural gas,3,4742,4275,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,electricity,0 or 1,1031,1278,500,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,electricity,2,1536,1596,672,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,detached,natural gas,2,9907,4501,2595,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,detached,natural gas,3,12404,5894,3578,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,detached,natural gas,4 or more,12404,7794,7516,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,detached,electricity,2,2720,2701,2980,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,detached,electricity,3,3642,2701,4752,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,detached,electricity,4 or more,4512,4484,6586,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,apartment,natural gas,0 or 1,5917,3307,1637,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,apartment,electricity,0 or 1,1556,1558,1979,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,apartment,electricity,2,2590,2192,3077,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,detached,natural gas,3,3764,4525,3595,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,detached,natural gas,4 or more,3764,5698,6324,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,detached,electricity,2,1104,2111,4318,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,detached,electricity,3,1104,2618,5320,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,detached,electricity,4 or more,1505,3662,7464,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,attached,electricity,2,687,1743,2746,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,apartment,electricity,0 or 1,256,1160,3196,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,apartment,electricity,2,552,1815,3692,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
florida,apartment,electricity,3,692,2256,4266,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,detached,natural gas,2,25744,5285,603,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,detached,natural gas,2,25744,5285,603,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,detached,natural gas,2,25744,5285,603,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,detached,natural gas,2,25744,5285,603,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,detached,natural gas,2,25744,5285,603,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,detached,natural gas,2,25744,5285,603,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,detached,natural gas,3,32226,6297,675,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,detached,natural gas,3,32226,6297,675,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,detached,natural gas,3,32226,6297,675,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,detached,natural gas,3,32226,6297,675,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,detached,natural gas,3,32226,6297,675,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,detached,natural gas,3,32226,6297,675,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,detached,natural gas,4 or more,38708,9019,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,detached,natural gas,4 or more,38708,9019,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,detached,natural gas,4 or more,38708,9019,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,detached,natural gas,4 or more,38708,9019,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,detached,natural gas,4 or more,38708,9019,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,detached,natural gas,4 or more,38708,9019,2517,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,detached,fuel oil,2,22420,7924,594,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,detached,fuel oil,2,22420,7924,594,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,detached,fuel oil,2,22420,7924,594,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,detached,fuel oil,2,22420,7924,594,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,detached,fuel oil,2,22420,7924,594,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,detached,fuel oil,2,22420,7924,594,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,detached,fuel oil,3,23777,9300,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,detached,fuel oil,3,23777,9300,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,detached,fuel oil,3,23777,9300,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,detached,fuel oil,3,23777,9300,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,detached,fuel oil,3,23777,9300,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,detached,fuel oil,3,23777,9300,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,detached,fuel oil,4 or more,27664,10286,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,detached,fuel oil,4 or more,27664,10286,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,detached,fuel oil,4 or more,27664,10286,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,detached,fuel oil,4 or more,27664,10286,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,detached,fuel oil,4 or more,27664,10286,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,detached,fuel oil,4 or more,27664,10286,947,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,attached,natural gas,2,15533,4802,694,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,attached,natural gas,2,15533,4802,694,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,attached,natural gas,2,15533,4802,694,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,attached,natural gas,2,15533,4802,694,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,attached,natural gas,2,15533,4802,694,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,attached,natural gas,2,15533,4802,694,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,attached,fuel oil,3,30337,10333,1351,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,attached,fuel oil,3,30337,10333,1351,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,attached,fuel oil,3,30337,10333,1351,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,attached,fuel oil,3,30337,10333,1351,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,attached,fuel oil,3,30337,10333,1351,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,attached,fuel oil,3,30337,10333,1351,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,attached,fuel oil,4 or more,31658,11218,1379,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,attached,fuel oil,4 or more,31658,11218,1379,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,attached,fuel oil,4 or more,31658,11218,1379,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,attached,fuel oil,4 or more,31658,11218,1379,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,attached,fuel oil,4 or more,31658,11218,1379,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,attached,fuel oil,4 or more,31658,11218,1379,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,natural gas,0 or 1,9286,2473,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,natural gas,0 or 1,9286,2473,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,natural gas,0 or 1,9286,2473,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,natural gas,0 or 1,9286,2473,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,natural gas,0 or 1,9286,2473,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,natural gas,0 or 1,9286,2473,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,natural gas,2,18651,4142,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,natural gas,2,18651,4142,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,natural gas,2,18651,4142,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,natural gas,2,18651,4142,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,natural gas,2,18651,4142,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,natural gas,2,18651,4142,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,natural gas,3,18651,4501,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,natural gas,3,18651,4501,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,natural gas,3,18651,4501,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,natural gas,3,18651,4501,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,natural gas,3,18651,4501,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,natural gas,3,18651,4501,608,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,fuel oil,0 or 1,12818,4858,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,fuel oil,0 or 1,12818,4858,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,fuel oil,0 or 1,12818,4858,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,fuel oil,0 or 1,12818,4858,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,fuel oil,0 or 1,12818,4858,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,fuel oil,0 or 1,12818,4858,297,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,fuel oil,2,14579,6568,526,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,fuel oil,2,14579,6568,526,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,fuel oil,2,14579,6568,526,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,fuel oil,2,14579,6568,526,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,fuel oil,2,14579,6568,526,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,fuel oil,2,14579,6568,526,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,fuel oil,3,34377,16758,588,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,fuel oil,3,34377,16758,588,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,fuel oil,3,34377,16758,588,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,fuel oil,3,34377,16758,588,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,fuel oil,3,34377,16758,588,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,fuel oil,3,34377,16758,588,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,electricity,0 or 1,3539,1399,460,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,electricity,0 or 1,3539,1399,460,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,electricity,0 or 1,3539,1399,460,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,electricity,0 or 1,3539,1399,460,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,electricity,0 or 1,3539,1399,460,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,electricity,0 or 1,3539,1399,460,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
connecticut,apartment,electricity,2,4152,1791,656,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
maine,apartment,electricity,2,4152,1791,656,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
massachusetts,apartment,electricity,2,4152,1791,656,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new hampshire,apartment,electricity,2,4152,1791,656,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
vermont,apartment,electricity,2,4152,1791,656,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
rhode island,apartment,electricity,2,4152,1791,656,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,natural gas,2,24940,7112,928,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,natural gas,2,24940,7112,928,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,natural gas,3,28939.5,5891,1333,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,natural gas,3,28939.5,5891,1333,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,natural gas,4 or more,32939,6936,1476,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,natural gas,4 or more,32939,6936,1476,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,fuel oil,2,17194,10083,830,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,fuel oil,2,17194,10083,830,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,fuel oil,3,23478,10083,1269,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,fuel oil,3,23478,10083,1269,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,fuel oil,4 or more,29349,10090,1274,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,fuel oil,4 or more,29349,10090,1274,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,electricity,2,7595,1619,1017,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,electricity,2,7595,1619,1017,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,electricity,3,8698,3082,1887,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,electricity,3,8698,3082,1887,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,detached,electricity,4 or more,9801,3299,2536,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,detached,electricity,4 or more,9801,3299,2536,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,attached,natural gas,2,16110,5669,852,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,attached,natural gas,2,16110,5669,852,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,attached,natural gas,3,24132,5795,897,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,attached,natural gas,3,24132,5795,897,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,attached,natural gas,4 or more,24132,6648,897,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,attached,natural gas,4 or more,24132,6648,897,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,attached,fuel oil,3,23034,9301,668,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,attached,fuel oil,3,23034,9301,668,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,attached,electricity,3,5482,2141,1550,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,attached,electricity,3,5482,2141,1550,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,natural gas,0 or 1,8350,2897,491,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,natural gas,0 or 1,8350,2897,491,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,natural gas,2,13609,4595,644,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,natural gas,2,13609,4595,644,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,natural gas,3,21513,5647,934,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,natural gas,3,21513,5647,934,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,fuel oil,0 or 1,6242,4303,458,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,fuel oil,0 or 1,6242,4303,458,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,fuel oil,2,12391,5994,566,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,fuel oil,2,12391,5994,566,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,fuel oil,3,15508,10552,566,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,fuel oil,3,15508,10552,566,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,electricity,0 or 1,3462,1376,523,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,electricity,0 or 1,3462,1376,523,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new jersey,apartment,electricity,2,5843,2295,1047,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
pennsylvania,apartment,electricity,2,5843,2295,1047,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
illinois,detached,natural gas,2,22655,5638,1251,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
indiana,detached,natural gas,2,22655,5638,1251,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
michigan,detached,natural gas,2,22655,5638,1251,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
ohio,detached,natural gas,2,22655,5638,1251,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wisconsin,detached,natural gas,2,22655,5638,1251,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
illinois,detached,natural gas,3,26325,6181,1515,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
indiana,detached,natural gas,3,26325,6181,1515,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
michigan,detached,natural gas,3,26325,6181,1515,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
ohio,detached,natural gas,3,26325,6181,1515,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wisconsin,detached,natural gas,3,26325,6181,1515,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
illinois,detached,natural gas,4 or more,29995,7917,2058,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
indiana,detached,natural gas,4 or more,29995,7917,2058,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
michigan,detached,natural gas,4 or more,29995,7917,2058,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
ohio,detached,natural gas,4 or more,29995,7917,2058,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wisconsin,detached,natural gas,4 or more,29995,7917,2058,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
illinois,detached,electricity,3,8010,2969,1468,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
indiana,detached,electricity,3,8010,2969,1468,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
michigan,detached,electricity,3,8010,2969,1468,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
ohio,detached,electricity,3,8010,2969,1468,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
wisconsin,detached,electricity,3,8010,2969,1468,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
illinois,attached,natural gas,2,17813,6200,1002,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
indiana,attached,natural gas,2,17813,6200,1002,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
michigan,attached,natural gas,2,17813,6200,1002,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
