"aircraft","massFuelTakeOff","massFuelClimbOut","massFuelApproach","massFuelTaxi","massFuelCruise232km","massFuelCruise463km","massFuelCruise926km","massFuelCruise1389km","massFuelCruise1852km","massFuelCruise2778km","massFuelCruise3704km","massFuelCruise4630km","massFuelCruise5556km","massFuelCruise6482km","massFuelCruise7408km","massFuelCruise8334km","massFuelCruise9260km","massFuelCruise10186km","massFuelCruise11112km","massFuelCruise12038km","IATACode","ICAOCode","representativeAircraft","units","source"
"Boeing 737-200 Advanced [73A]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,"73A","B732","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737 [73B]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,"73B","B732","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737 (all freighter models) [73F]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,"73F","B73F","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-200 Combi [73M]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,"73M","B732","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 737-200 Advanced [73S]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,"73S","B732","Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747-300 Combi [74D]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"74D","B743","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747-400 Combi [74E]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"74E","B744","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747 (all freighter models) [74F]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"74F","B74F","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747SP-09 [74L]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"74L","B74S","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747 (all combi models) [74M]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"74M","B74M","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 747SR [74R]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"74R","B74R","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 757 Freighter [75F]",144.3,370.7,226.3,511.6,1169.89,2157.17,3817.35,5471.43,7137.71,10592.75,14154.02,17772.89,,,,,,,,,"75F","B752","Boeing 757",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[A31]",182.2,472.5,297.3,588.6,1270.01,2358.93,4449.82,6540.72,8631.61,12992.03,17441.09,22158.8,27134.73,32223.27,,,,,,,"A31",,"Airbus A310",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[A3E]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,"A3E",,"Boeing 767-300 ER",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Antonov 124 Ruslan [A4F]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"A4F","A124","Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A300 [AB3]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,"AB3","A30B","Boeing 767-300 ER",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A300B2/B4/C4 [AB4]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,"AB4","A30B","Boeing 767-300 ER",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A300-600 [AB6]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,"AB6","A306","Boeing 767-300 ER",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Airbus A300C4/F47-600 Freighter [ABF]",195.4,500.2,321.4,600,1413.22,2688.13,4868.08,7048.04,9228,13791.49,18469.48,23187.3,28292.31,33621.97,39013.84,44696.58,50590.91,,,,"ABF","A30B","Boeing 767-300 ER",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"British Aerospace (BAC) One Eleven / RomBAC One Eleven [B11]",60.5,155.6,106.6,358.8,712.28,1400.85,2428.53,3513.21,4597.89,6960.04,9478.46,,,,,,,,,,"B11","BA11","British Aerospace (BAC) One Eleven",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"British Aerospace (BAC) One Eleven 500 / RomBAC One Eleven [B15]",60.5,155.6,106.6,358.8,712.28,1400.85,2428.53,3513.21,4597.89,6960.04,9478.46,,,,,,,,,,"B15","BA11","British Aerospace (BAC) One Eleven",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Boeing 720B [B72]",188.2,476.6,306.8,868,1760.58,3151.13,5614.77,8060.04,10542.05,15604.18,21036.66,,,,,,,,,,"B72","B720","Boeing 737-100 (x2)",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[B86]",86,225,147.3,367,777.74,1442.58,2787.44,4134.94,5477.17,8362.28,11342.24,,,,,,,,,,"B86",,"Boeing 737-400",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"[C51]",387.2,996.1,625.7,1404.8,3150.96,6005.91,10894.16,15782.42,20670.67,30756.66,41005.11,51841.3,63148.44,74495.36,86948.23,99852.03,113289.44,126997.14,,,"C51",,"Boeing 747-100-300",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Aerospatiale (Sud Aviation) Se.210 Caravelle [CRV]",60.5,155.6,106.6,358.8,712.28,1400.85,2428.53,3513.21,4597.89,6960.04,9478.46,,,,,,,,,,"CRV","S210","British Aerospace (BAC) One Eleven",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-10 [D10]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"D10","DC10","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-10-10/15 [D11]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"D11","DC10","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-10-30/40 [D1C]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"D1C","DC10","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
"Douglas DC-10 Freighter [D1F]",283.1,716.8,436.5,944.8,2346.49,4423.19,8106.28,11789.37,15472.45,23095.05,30837.4,39111.15,47980.17,57071.21,66656.72,76652.88,87016.81,,,,"D1F","DC10","Douglas DC-10",,"http://www.eea.europa.eu/publications/EMEPCORINAIR5/page017.html"
