"region","livestockType","managementType","managementSubtype","massNExcretedPer1000kgLivestockPerTime","massN2OPerMassNDirect","fractionVolatilised","massN2OPerMassNVolatilised","units","source"
"north america","goat","composting","static pile",0.45,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","composting","static pile",1.28,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","composting","static pile",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","composting","static pile",1.28,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","composting","static pile",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","composting","static pile",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","composting","static pile",1.37,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","composting","static pile",1.42,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","daily spread","-",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","daily spread","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","daily spread","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","daily spread","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","daily spread","-",1.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","daily spread","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","daily spread","-",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","daily spread","-",0.45,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","dry lot","-",1.42,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","dry lot","-",1.37,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","dry lot","-",1.37,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","dry lot","-",1.37,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","dry lot","-",1.37,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","dry lot","-",1.28,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","dry lot","-",0.45,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","dry lot","-",1.28,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","liquid/slurry","with natural crust cover",1.28,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","liquid/slurry","with natural crust cover",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","liquid/slurry","with natural crust cover",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","liquid/slurry","with natural crust cover",0.45,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","liquid/slurry","with natural crust cover",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","liquid/slurry","with natural crust cover",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","liquid/slurry","with natural crust cover",1.28,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","liquid/slurry","with natural crust cover",1.42,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","liquid/slurry","without natural crust cover",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","liquid/slurry","without natural crust cover",0.45,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","liquid/slurry","without natural crust cover",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","liquid/slurry","without natural crust cover",1.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","liquid/slurry","without natural crust cover",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","liquid/slurry","without natural crust cover",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","liquid/slurry","without natural crust cover",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","liquid/slurry","without natural crust cover",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","pasture/range/paddock","-",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","pasture/range/paddock","-",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","pasture/range/paddock","-",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","pasture/range/paddock","-",0.45,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","pasture/range/paddock","-",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","pasture/range/paddock","-",1.37,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","pasture/range/paddock","-",1.42,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","pasture/range/paddock","-",1.28,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","pit storage below animal confinements","-",0.45,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","pit storage below animal confinements","-",1.28,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","pit storage below animal confinements","-",1.28,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","pit storage below animal confinements","-",1.37,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","pit storage below animal confinements","-",1.37,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","pit storage below animal confinements","-",1.42,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","pit storage below animal confinements","-",1.37,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","pit storage below animal confinements","-",1.37,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","solid storage","-",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","solid storage","-",1.28,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","solid storage","-",0.45,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","solid storage","-",1.28,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","solid storage","-",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","solid storage","-",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","solid storage","-",1.37,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","solid storage","-",1.42,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","goat","uncovered anaerobic lagoon","-",0.45,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","goat","uncovered anaerobic lagoon","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","goat","uncovered anaerobic lagoon","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","goat","uncovered anaerobic lagoon","-",1.42,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","goat","uncovered anaerobic lagoon","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","goat","uncovered anaerobic lagoon","-",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","goat","uncovered anaerobic lagoon","-",1.28,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","goat","uncovered anaerobic lagoon","-",1.37,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","aerobic treatment","forced aeration",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","aerobic treatment","forced aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","aerobic treatment","forced aeration",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","aerobic treatment","forced aeration",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","aerobic treatment","forced aeration",0.26,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","aerobic treatment","natural aeration",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","aerobic treatment","natural aeration",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","aerobic treatment","natural aeration",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","aerobic treatment","natural aeration",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","aerobic treatment","natural aeration",0.26,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","anaerobic digester","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","anaerobic digester","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","anaerobic digester","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","anaerobic digester","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","anaerobic digester","-",0.26,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","deep bedding","active mixing",0.46,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","deep bedding","active mixing",0.46,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","deep bedding","active mixing",0.3,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","deep bedding","active mixing",0.46,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","deep bedding","active mixing",0.46,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","deep bedding","active mixing",0.3,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","deep bedding","active mixing",0.3,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","deep bedding","active mixing",0.26,0.070,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","deep bedding","no mixing",0.46,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","deep bedding","no mixing",0.46,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","deep bedding","no mixing",0.3,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","deep bedding","no mixing",0.46,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","deep bedding","no mixing",0.46,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","deep bedding","no mixing",0.3,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","deep bedding","no mixing",0.3,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","deep bedding","no mixing",0.26,0.010,0.250,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","composting","in vessel",0.3,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","composting","in vessel",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","composting","in vessel",0.3,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","composting","in vessel",0.3,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","composting","in vessel",0.26,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","composting","intensive windrow",0.3,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","composting","intensive windrow",0.46,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","composting","intensive windrow",0.3,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","composting","intensive windrow",0.3,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","composting","intensive windrow",0.26,0.100,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","composting","passive windrow",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","composting","passive windrow",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","composting","passive windrow",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","composting","passive windrow",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","composting","passive windrow",0.26,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","composting","static pile",0.3,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","composting","static pile",0.46,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","composting","static pile",0.3,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","composting","static pile",0.3,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","composting","static pile",0.26,0.006,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","daily spread","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","daily spread","-",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","daily spread","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","daily spread","-",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","daily spread","-",0.26,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","dry lot","-",0.3,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","dry lot","-",0.46,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","dry lot","-",0.3,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","dry lot","-",0.3,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","dry lot","-",0.26,0.020,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","liquid/slurry","with natural crust cover",0.3,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","liquid/slurry","with natural crust cover",0.46,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","liquid/slurry","with natural crust cover",0.3,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","liquid/slurry","with natural crust cover",0.3,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","liquid/slurry","with natural crust cover",0.26,0.005,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","liquid/slurry","without natural crust cover",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","liquid/slurry","without natural crust cover",0.46,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","liquid/slurry","without natural crust cover",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","liquid/slurry","without natural crust cover",0.3,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","liquid/slurry","without natural crust cover",0.26,0.000,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","pasture/range/paddock","-",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","pasture/range/paddock","-",0.46,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","pasture/range/paddock","-",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"oceania","horses/mules/asses","pasture/range/paddock","-",0.3,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"western europe","horses/mules/asses","pasture/range/paddock","-",0.26,0.010,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"africa","horses/mules/asses","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"asia","horses/mules/asses","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"eastern europe","horses/mules/asses","pit storage below animal confinements","-",0.3,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"latin america","horses/mules/asses","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"middle east","horses/mules/asses","pit storage below animal confinements","-",0.46,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
"north america","horses/mules/asses","pit storage below animal confinements","-",0.3,0.002,,0.010,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/vol4.html"
