"fuel","context","density","LHV","EFLHVNRGCO2","EFLHVNRGCH4","EFLHVNRGN2O","HHVConversion","units","source"
"Sulphite lyes (Black liqour)","Institutional","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Agriculture","-1.0","32.500",97500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Commercial","-1.0","26.700",98300.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Fisheries","-1.0","49.500",57600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Commercial","0.7","48.000",56100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Manufacturing","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Forestry","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Forestry","-1.0","20.700",97500.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Naphtha","Forestry","770.0","44.500",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Residential","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Naphtha","Construction","770.0","44.500",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Construction","-1.0","28.200",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Agriculture","-1.0","18.900",96100.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Energy","-1.0","15.600",112000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Agriculture","-1.0","28.200",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Pulverised wet bottom","-1.0","25.800",94600.00,0.90,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Institutional","-1.0","11.900",101000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Naphtha","Agriculture","770.0","44.500",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Institutional","1000.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Manufacturing","-1.0","8.900",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Commercial","540.0","47.300",63100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Residential","1000.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Institutional","-1.0","7.060",182000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bitumen","Institutional","-1.0","40.200",80700.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other biogas","Manufacturing","-1.0","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Manufacturing","-1.0","44.300",70000.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Forestry","-1.0","25.800",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Manufacturing","-1.0","25.800",94600.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Residential","-1.0","29.500",112000.00,200.00,1.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Residential","-1.0","28.200",107000.00,5.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Fisheries","-1.0","28.200",107000.00,5.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Residential","-1.0","-1.000",143000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Fisheries","940.0","40.400",77400.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Forestry","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Institutional","0.7","48.000",56100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Energy","-1.0","27.000",70800.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Residential","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Manufacturing","-1.0","28.200",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Fisheries","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Liquified Petroleum Gases","Forestry","540.0","47.300",63100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Forestry","-1.0","18.900",96100.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Institutional","-1.0","18.900",96100.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Institutional","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Charcoal","Commercial","-1.0","29.500",112000.00,200.00,1.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Construction","-1.0","26.700",98300.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Manufacturing","-1.0","11.600",100000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Commercial","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Forestry","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Energy","-1.0","20.700",97500.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Commercial","-1.0","8.900",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"White Spirit/SBP","Energy","-1.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Agriculture","790.0","44.100",71500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Commercial","-1.0","28.200",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Overfeed stoker boilers","-1.0","25.800",94600.00,1.00,0.70,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Commercial","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Construction","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Agriculture","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Other","840.0","43.000",74100.00,0.20,0.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Energy","800.0","43.800",71900.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Forestry","0.9","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Commercial","-1.0","9.760",106000.00,10.00,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other liquid biofuels","Residential","-1.0","27.400",79600.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Institutional","-1.0","27.500",77000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Residential","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil No.5","General","950.0","41.790",77827.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Forestry","-1.0","49.500",57600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Pulverised dry bottom, tangentially fired","-1.0","25.800",94600.00,0.70,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Fisheries","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Fisheries","0.7","48.000",56100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Construction","-1.0","11.900",101000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Institutional","0.9","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Manufacturing","-1.0","32.500",97500.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Construction","-1.0","28.200",107000.00,1.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Residential","840.0","43.000",74100.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Commercial","-1.0","28.200",107000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Residential","0.7","48.000",56100.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Residential","-1.0","40.200",73300.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Energy","-1.0","20.700",97500.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery feedstocks","Construction","-1.0","43.000",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Construction","-1.0","28.000",80700.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Institutional","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Commercial","800.0","42.300",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Lime kilns","940.0","40.400",77400.00,2.70,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Reciprocating engines, 2-stroke lean burn","0.7","48.000",56100.00,693.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Boilers","-1.0","15.600",112000.00,11.00,7.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biodiesels","Commercial","-1.0","27.000",70800.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery feedstocks","Agriculture","-1.0","43.000",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Commercial","-1.0","-1.000",143000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Motor gasoline","Forestry","740.0","44.300",69300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Fisheries","-1.0","25.800",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Forestry","-1.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Residential","-1.0","44.200",64200.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Agriculture","-1.0","27.500",77000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Construction","800.0","43.800",71900.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peat","Agriculture","-1.0","9.760",106000.00,300.00,1.40,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Paraffin waxes","Residential","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sulphite lyes (Black liqour)","Agriculture","-1.0","11.800",95300.00,3.00,2.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other petroleum products","Residential","-1.0","40.200",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Agriculture","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Fluidised circulating bed combustor","-1.0","25.800",94600.00,1.00,61.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Residential","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Commercial","-1.0","27.500",77000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Forestry","800.0","42.300",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Residential","-1.0","10.000",91700.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Fisheries","-1.0","28.000",80700.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Fisheries","-1.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Commercial","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Energy","-1.0","38.700",44400.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual fuel oil","Residential","940.0","40.400",77400.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Fisheries","-1.0","27.500",77000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","Manufacturing","1000.0","40.200",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Naphtha","Institutional","770.0","44.500",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas works gas","Energy","-1.0","38.700",44400.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Commercial","-1.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Manufacturing","-1.0","11.900",101000.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Fisheries","0.9","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Fisheries","-1.0","8.900",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other biogas","Agriculture","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Commercial","-1.0","38.700",44400.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Manufacturing","-1.0","7.060",182000.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Construction","-1.0","32.500",97500.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven gas","Manufacturing","-1.0","38.700",44400.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Propane","General","508.0","47.050",63596.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coke oven coke","Fisheries","-1.0","28.200",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Manufacturing","1.3","46.400",61600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coal tar","Agriculture","-1.0","28.000",80700.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Waste oils","Commercial","-1.0","40.200",73300.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Commercial","-1.0","11.600",100000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet kerosene","Commercial","790.0","44.100",71500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Manufacturing","-1.0","10.000",91700.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Commercial","-1.0","18.900",96100.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Construction","-1.0","10.000",91700.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Commercial","1000.0","38.100",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oxygen steel furnace gas","Construction","-1.0","7.060",182000.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite","Agriculture","-1.0","11.900",101000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other kerosene","Agriculture","800.0","43.800",71900.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Construction","1000.0","38.100",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sludge gas","Construction","-1.0","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Energy","1.3","46.400",61600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other liquid biofuels","Construction","-1.0","27.400",79600.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other liquid biofuels","Energy","-1.0","27.400",79600.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Fisheries","-1.0","10.000",91700.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other biogas","Commercial","-1.0","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brown coal briquettes","Construction","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Forestry","-1.0","-1.000",143000.00,300.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Crude oil","Residential","800.0","42.300",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Overfeed stoker boilers","-1.0","18.900",96100.00,1.00,0.70,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Fisheries","-1.0","18.900",96100.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Residential","0.9","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bitumen","Construction","-1.0","40.200",80700.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Spreader stokers","-1.0","25.800",94600.00,1.00,0.70,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural Gas Liquids","Forestry","-1.0","44.200",64200.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Energy","840.0","43.000",74100.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood or Wood waste","Construction","-1.0","15.600",112000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Petroleum coke","Commercial","-1.0","32.500",97500.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lignite coke","Energy","-1.0","28.200",107000.00,1.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Landfill gas","Commercial","0.9","50.400",54600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Manufacturing","-1.0","-1.000",143000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Naphtha","Manufacturing","770.0","44.500",73300.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Manufacturing","-1.0","26.700",98300.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Commercial","-1.0","49.500",57600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other bituminous coal","Underfeed stoker boilers","-1.0","25.800",94600.00,14.00,0.70,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other biogas","Construction","-1.0","50.400",54600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethane","Construction","1.3","46.400",61600.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Industrial wastes","Construction","-1.0","-1.000",143000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","Manufacturing","0.7","48.000",56100.00,1.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tires and tire derived fuel","General","-1.0","-1.000",85800.00,0.00,0.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bitumen","Residential","-1.0","40.200",80700.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Institutional","1000.0","38.100",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Refinery gas","Residential","-1.0","49.500",57600.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas/Diesel oil","Institutional","840.0","43.000",74100.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Residential","-1.0","28.200",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Biogasoline","Energy","-1.0","27.000",70800.00,3.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oil shale and tar sands","Residential","-1.0","8.900",107000.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Coking coal","Forestry","-1.0","28.200",94600.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub bituminous coal","Manufacturing","-1.0","18.900",96100.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Patent fuel","Manufacturing","-1.0","20.700",97500.00,10.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","Residential","710.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Blast furnace gas","Commercial","-1.0","2.470",260000.00,5.00,0.10,"1.11",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Orimulsion","Forestry","-1.0","27.500",77000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gas coke","Commercial","-1.0","28.200",107000.00,5.00,0.10,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal wastes (Biomass fraction)","Energy","-1.0","11.600",100000.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Municipal waste (Non biomass fraction)","Energy","-1.0","10.000",91700.00,30.00,4.00,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Shale oil","Agriculture","1000.0","38.100",73300.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","Fisheries","-1.0","26.700",98300.00,300.00,1.50,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet gasoline","Agriculture","-1.0","44.300",70000.00,10.00,0.60,"1.05",,"GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
