"country","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","units","source"
"Yemen",0.8230311,0.0515477,0.0103095,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Zambia",0.0067574,0.0001684,0.0000602,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Zimbabwe",0.5727689,0.0097723,0.0095523,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Other Africa",0.4886113,0.0163102,0.0043546,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Other Latin America",0.5089928,0.0307298,0.0061442,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Other Asia",0.3078166,0.0220156,0.0065597,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools; EIA http://www.eia.doe.gov/oiaf/1605/excel/electricity_factors_99-02country.xls"
"Memo: European Union - 27",0.3408600,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Memo: Former Yugoslavia",0.5765200,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Memo: Economies in Transition",0.3622600,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"World",0.5017400,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"OECD North America",0.5245400,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"OECD Pacific",0.4832100,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"OECD Europe",0.3255600,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Africa",0.6427400,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Latin America",0.1969700,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Middle East",0.6901100,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Non-OECD Europe",0.4785900,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Former USSR",0.3514700,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Asia (excluding China)",0.7283000,"","","Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
