country,type,annualMassDirectCO2PerEnergy,massDirectCO2PerEnergy,massIndirectCO2ePerEnergy,massLifeCycleCO2ePerEnergy,percentElectricity,percentHeat,percentLossesElectricity,percentLossesHeat,units,source
Lithuania,electricity distribution and transmission,0.00593,0.02041,0.00273,0.02314,0.517533747,0.482466253,0.120167014,0.156697623,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Luxembourg,electricity distribution and transmission,0.15206,0.00499,0.00067,0.00566,0.857558511,0.142441489,0.016711077,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Malta,electricity distribution and transmission,0.02843,0.14028,0.01876,0.15904,1,0,0.136448828,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Netherlands,electricity distribution and transmission,0.04142,0.02967,0.00397,0.03364,0.707747842,0.292252158,0.040857556,0.17134142,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Poland,electricity distribution and transmission,0.03066,0.04617,0.00617,0.05234,0.630840512,0.369159488,0.114029012,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Portugal,electricity distribution and transmission,0.08505,0.03267,0.00437,0.03704,0.927713163,0.072286837,0.075751492,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Romania,electricity distribution and transmission,0.01607,0.08507,0.01138,0.09645,0.647986066,0.352013934,0.138419237,0.220208841,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovak Republic,electricity distribution and transmission,0.0254,0.01997,0.00267,0.02264,0.697749418,0.302250582,0.054198156,0.146342586,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Slovenia,electricity distribution and transmission,0.01842,0.02863,0.00383,0.03246,0.853174277,0.146825723,0.06316468,0.153496892,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Spain,electricity distribution and transmission,0.00296,0.02861,0.00383,0.03244,1,0,0.070135423,0,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
Sweden,electricity distribution and transmission,0.03848,0.00319,0.00043,0.00362,0.751500322,0.248499678,0.078040658,0.036513157,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
European Union 27,electricity distribution and transmission,0.02596,0.02752,0.00368,0.0312,0.812406861,0.187593139,0.069703895,0.077707353,," Annex 10, http://www.defra.gov.uk/environment/economy/business-efficiency/reporting/"
