"material","type","subtype","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Cement","66-80% GGBS (CEM II/B)","80% GGBS",2.400,0.250,0.260,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","66-80% GGBS (CEM II/B)","Mean",2.680,0.310,0.320,"Cradle to gate","See material profile for further details.",,"http://people.bath.ac.uk/cj219/"
"Cement","Average CEM I Portland Cement (94% Clinker)",,5.500,0.930,0.950,"Cradle to gate","This is a standard cement with no cementitious additions (i.e. fly ash or blast furnace slag). Composition 94% clinker, 5% gypsum, 1% minor additional constituents (mac's). This data has been estimated from the British Cement Association's factsheets.",,"http://people.bath.ac.uk/cj219/"
"Cement","Cement stabilised soil",5%,0.680,0.060,0.061,"Cradle to gate","Assumed 5% cement content.",,"http://people.bath.ac.uk/cj219/"
"Cement","Cement stabilised soil",8%,0.830,0.082,0.084,"Cradle to gate","Assumed 8% stabiliser contents (6% cement and 2% quicklime)",,"http://people.bath.ac.uk/cj219/"
"Cement","Fibre Cement  Panels","Coated",15.300,1.280,,"Cradle to gate","Few data points. Selected data modified from Ref. 107.",,"http://people.bath.ac.uk/cj219/"
"Cement","Fibre Cement Panels","Uncoated",10.400,1.090,,"Cradle to gate","Few data points. Selected data modified from Ref. 107.",,"http://people.bath.ac.uk/cj219/"
"Cement","General","UK weighted average",4.510,0.730,0.740,"Cradle to gate","Weighted average of all cement consumed within the UK. This includes all factory made cements (CEM I, CEM II, CEM III, CEM IV) and further blending of fly ash and ground granulated blast furnace slag.",,"http://people.bath.ac.uk/cj219/"
"Cement","Mortar","1:0.5:4.5 cement:lime:sand mix",1.340,0.200,0.213,"Cradle to gate","Values estimated from the ICE Cement, Mortar and Concrete Model",,"http://people.bath.ac.uk/cj219/"
"Cement","Mortar","1:1:6 cement:lime:sand mix",1.110,0.163,0.174,"Cradle to gate","Values estimated from the ICE Cement, Mortar and Concrete Model",,"http://people.bath.ac.uk/cj219/"
"Cement","Mortar","1:2:9 cement:lime:sand mix",1.030,0.145,0.155,"Cradle to gate","Values estimated from the ICE Cement, Mortar and Concrete Model",,"http://people.bath.ac.uk/cj219/"
"Cement","Mortar","1:3 cement:sand mix",1.330,0.208,0.221,"Cradle to gate","Values estimated from the ICE Cement, Mortar and Concrete Model",,"http://people.bath.ac.uk/cj219/"
"Cement","Mortar","1:4 cement:sand mix",1.110,0.171,0.182,"Cradle to gate","Values estimated from the ICE Cement, Mortar and Concrete Model",,"http://people.bath.ac.uk/cj219/"
"Cement","Mortar","1:5 cement:sand mix",0.970,0.146,0.156,"Cradle to gate","Values estimated from the ICE Cement, Mortar and Concrete Model",,"http://people.bath.ac.uk/cj219/"
"Cement","Mortar","1:6 cement:sand mix",0.850,0.127,0.136,"Cradle to gate","Values estimated from the ICE Cement, Mortar and Concrete Model",,"http://people.bath.ac.uk/cj219/"
"Ceramics","Fittings",,20.000,1.070,1.140,"Cradle to gate","Ref. 1.",,"http://people.bath.ac.uk/cj219/"
"Ceramics","General",,10.000,0.660,0.700,"Cradle to gate","Very large data range, difficult to select values for general ceramics.",,"http://people.bath.ac.uk/cj219/"
"Ceramics","Sanitary products",,29.000,1.510,1.610,"Cradle to gate","Limited data.",,"http://people.bath.ac.uk/cj219/"
"Ceramics","Tiles and cladding panels",,12.000,0.740,0.780,"Cradle to gate","Difficult to select, large range, limited data. See Ref. 292.",,"http://people.bath.ac.uk/cj219/"
"Chromium",,,83.000,5.390,,"Not specified","Ref. 22.",,"http://people.bath.ac.uk/cj219/"
"Clay","General (simple baked products)",,3.000,0.230,0.240,"Cradle to gate","General simple baked clay products (inc. terracotta and bricks)",,"http://people.bath.ac.uk/cj219/"
"Clay","Tile",,6.500,0.450,0.480,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Clay","Vitrified clay pipe","DN 100",6.200,0.438,0.460,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Clay","Vitrified clay pipe","DN 150",6.200,0.438,0.460,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Clay","Vitrified clay pipe","DN 200",7.000,0.478,0.500,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Clay","Vitrified clay pipe","DN 300",7.000,0.478,0.500,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Clay","Vitrified clay pipe","DN 500",7.900,0.519,0.550,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Copper","EU Tube and Sheet","Average",42.000,2.600,2.710,"Cradle to gate","EU production data, estimated from Kupfer Institut LCI data. 37% recycled content (the 3 year world average). World average data is expected to be higher than these values.",,"http://people.bath.ac.uk/cj219/"
"Copper","EU Tube and Sheet","Recycled",16.500,0.800,0.840,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Copper","EU Tube and Sheet","Virgin",57.000,3.650,3.810,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Copper","Recycled from high grade scrap",,18.000,1.100,,"Cradle to gate","Uncertain, difficult to estimate with the data available.",,"http://people.bath.ac.uk/cj219/"
"Copper","Recycled from low grade scrap",,50.000,3.100,,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Cotton","Fabric",,143.000,6.780,,"Not specified","Ref. 38.",,"http://people.bath.ac.uk/cj219/"
"Cotton","Padding",,27.100,1.280,,"Not specified","Ref. 38.",,"http://people.bath.ac.uk/cj219/"
"Damp proof course/membrane",,,134.000,4.200,,"Not specified","Uncertain estimate.",,"http://people.bath.ac.uk/cj219/"
"Felt","General",,36.000,,,"Not specified",,,"http://people.bath.ac.uk/cj219/"
"Flax",,,33.500,1.700,,"Not specified","Ref. 2.",,"http://people.bath.ac.uk/cj219/"
"Fly Ash",,,0.100,0.008,,"Not specified","No allocation from fly ash producing system.",,"http://people.bath.ac.uk/cj219/"
"Glass","Fibreglass","Glasswool",28.000,1.540,,"Cradle to gate","Large data range, but the selected value is inside a small band of frequently quoted values.",,"http://people.bath.ac.uk/cj219/"
